title,count,organisations
"320 04134 Filter Engine Oil JCB, 581 18063 Transmission Filter PC JCB, 40 300893 Filter Element JCB, 3",4,['border security force']
35 KVA DG SET ( DIESEL GENERATOR ),22,['border security force']
"360 Degree Camera 2. 4MP, 10 100 8 Port POE Switch, Bullet Camera 5MP, Stay Wire, Monitor 22 Inches LG, R",4,['central armed police forces']
4 Pole 400Amp Change Over Switch with SS Enclosure,4,['indo tibetan border police']
"4- 5 MP IP COLOUR CCTV CAMERA, NVR 64 CHANNEL, SURVEILLANCE HDD- SAN 64 TB, POE SWITCH 4 plus 2 PORT",31,['border security force']
"40 301633 Pivot Pin Replace, 401 F8476 BI Metallic Bearing 70 or 60 X 62 Replace, 40 303394 Bush Repl",4,['border security force']
40 NB MIDAS Multiport Valve,4,['indo tibetan border police']
"4001 3200 15 JCB Engine oil, 4000 4500 20 JCB Axle oil, Castrol E oil 10 W 30, Diesel Exhaust fluid ad",4,['border security force']
"416A BLACK, CANON CART PIXMA 57, CANON CART PIXMA 47, PIGMENT INK FOR CANON CLASSIC, NEEDLE NEW GT 51HP",22,['central armed police forces']
"4K Digital Camera, High Resolution monitors, LED LIGHT SOURCE, FIBRE OPTIC LIGHT CABLE, INSUFFLATOR, LAP",13,['central reserve police force']
4MP FULL HD WDR IR BULLET CAMERA 30 MTR,7,['indo tibetan border police']
"4T APACHI 10W30, GEAIR OIL EP90, COOLENT RED, COOLENTGREEN, COOLENT MAXIMILE, DEF A L, JCB REAR AXLE OIL",4,['border security force']
"4X Fig 11 Target Spaced on TGT width apart Paper, CQB Target Paper, A Type Target Paper, B Type Target",13,['border security force']
"4X OBJECTIVE ASSY, REAR COVER BINO, REAR COVER ASSY, DIOPTER EYE PIECE ASSY, DIOPTER QUAD RING, NECK STR",4,['border security force']
"5 AND 6 AMP SOCKET, 5 AND 6 AMP SWITCH, 15 AND 16 AMP SWITCH, 15 AND 16 AMP SOCKET, 5 AND 6 AMP 3PIN TO",34,['border security force']
"5 Amp Piano Non modular Switch, 5Amp Piano Non modular Socket, 15 16 A Pinao Non modular switch, Suppl",52,['border security force']
"5 PARA CARDIAC MONITER MULTIPARA MONITER LOW END, D TYPE OXYGEN GAS CYLINDER, CARDIAC MONITER LEAD SE",13,['border security force']
5 Part Automated Hematology Analyser ( V2 ),4,['indo tibetan border police']
"5 amp non modular swicth, 5 amp non modular socket, 15 amp non modular switch, 15 amp non modular sock",13,['border security force']
"5 and 6 AMP SOCKET, 15 and 16 AMP SWITCH, 15 and 16 amp SOCKET, 5 and 6 AMP 3 PIN TO PLUG, INSULATION T",19,['border security force']
"5 point 5 X 7 ft OPEN TYPE CUPBOARD WITHOUT DOOR, 3 point 5 X 7 ft OPEN TYPE CUPBOARD WITHOUT DOOR, 7",10,['indo tibetan border police']
"5, 6 Amp Switch 1 way switch, 20 Amp, P type 1 way switch, 5 pin 5, 6 Amp Socket, 6, 16 Amps universal",22,['border security force']
5. 1 Dolby Surround Sound system,4,['central armed police forces']
5. 56 mm x 45 mm CQB Carbine,4,['border security force']
50 KLD Panel repair including removing all defective parts and providing and installation of new pa,13,['indo tibetan border police']
"50 MM GI TEE, 50 MM GI Union, 50 mm GI Nipple 4 inch, 50 40 mm GI socket, 40 mm GI Nipple 6 inch, 40 mm",4,['border security force']
"50 MTR OLYMPIC SIZE SWIMMING POOL RACING LANE & LANE ROLLER COMBO, 25 MTR 5 LANE SWIMMING POOL RACIN",13,['border security force']
500mA X Ray Machine High Frequency,7,['border security force']
"51 MM MOR HE INSERT, MINE AP M- 16 CUT SEC, MINE NMN- 14 CUT SEC, UBGL DUMMY MODEL, NATARAJ ERASER",4,['central armed police forces']
"570054 G Suction filter assembly, 570276 E Eng oil drain nut, 888414 Mobile filter, 591720 E Rear footrest",4,['border security force']
"5Amp switch socket box, White putty, pvc Pandent holder, pvc Bib cook Superior, Shower, Stainer Black100",4,['border security force']
"5V Adapter D Link for CCTV Camera, Logitech Webcam Midel No C920 HD Pro webcam 1080p, Hand Free PR Co",4,['central armed police forces']
"6 AMP Socket, 6 Amp Switch, 16 Amp Scoket, 1. 5 sqmm copper wire, 1 sqmm copper wire, 20 watt LED Tube Li",4,['border security force']
"6 Amp One way modular type switch 1 way, 5 pin 6 Amp modular type socket outlet, 16 amp modular type",13,['border security force']
"6 Amps. 1 way switch Modular, 16 Amps. 1 way switch, 6 Amp. Bell push Switch modular, 6 Amps socket AB",7,['national security guard']
"62. 5 KVA Oil Filter, 62. 5 KVA Fuel Filter, 62. 5 KVA V Belt, 30 KVA Carbon Brush, 30 KVA Oil Filter, 30 K",7,['central armed police forces']
"64 Channel AI NVR with Eight Sata port, 5MP AI WDR IR Bullet camera 60 mtr IR 2. 7 TO 13. 5 MM Motoriz",10,['central armed police forces']
"6AMP SOCKET, 6AMP SWITCH, 20WATT LED TUBE LIGHT, 9WATT LED BULB, PVC BOPARD 4X4X2, PVC BOARD 7X4X2, PVC B",4,['border security force']
"6D8 11411 00, 67F 11416 00, 67F 11417 00, 67F 11418 00, 6D8 11603 01, 6D8 11656 00, 93102 48008, 93101 480",7,['border security force']
"75mm Sulice Vavle, 100mm Sulice Vavle, Washbasin, Brass Wall mixer, Spindle for water tap, Shower, PTMT B",10,['central reserve police force']
"8 x 8 Matrix Switcher, 4 x 4 Matrix Switcher, OFC Media Converter Single Fiber, Optimux 4 x Ethernet w",4,['central armed police forces']
"81mm mor HE Drill bomb HE, 81mm mor smoke drill bomb smk, 81mm mor ILL drill bomb, 81 mm mor plotter 1",4,['central armed police forces']
"84 MM RL MK- III HE CUT SEC, 84 MM RL MK- III ILL CUT SEC, 84 MM RL MK- III HEAT- 751 CUT SEC, NATARAJ PEN",4,['central armed police forces']
"84 MM RL MULTI- PURPOSE STAND, 81 MM MOR HE BOMB CUT MODEL, 81 MM MOR ILL BOMB CUT MODEL, 81 MM MOR FUZ",4,['central armed police forces']
"9AH BATTERY, 80 AH BATTERY, 70AH BATTERY, 88AH BATTERY, 120AH BATTERY, 130AH BATTERT, 180 AH BATTERY, 40AH",4,['border security force']
"A 4 SIZE PAPER, PULP BOARD 160 GSM, PULP BOARD 200 GSM, MAP LITHO PAPER, PAPER ASTER",13,['indo tibetan border police']
"A 4 paper JK Copier 75 GSM, JK Paper FS 75 GSM legal, White chat paper, Register Long No 10, Exercise N",4,['central armed police forces']
"A 4 size Photostat Paper, Carbon Paper Pencil, Calculator, Colour Tape Difference colour, Dak Folder, Dr",16,['border security force']
"A ONECHECK GLYCOHEMOGLOBIN TEST KIT BIOSENSE, TROP T CARD, MALARIA TEST CARD, BLOOD GROUP REAGENT ABO,",10,['border security force']
"A3 glossy ID Paper, A4 glossy ID Paper, Paper Photostat A4, Folder for inspections, TRANSPERENT SHEET H",4,['border security force']
"A4 Paper, Glue Stick, Pilot Pen, Pilot Hitch, Writing pad, Ruld Pad, Natraj Pencil, Sharpener, Gel Pen Blue",22,['border security force']
"A4 SIZE PAPER RIM, LEGAL PAPER, POSTAL ENVOLOPES, PENCIL, EARASER, SHARPNER, BALL POINT PEN, BALL POINT PE",7,['border security force']
"A4 Size B2B paper ream, File Cover, Small Tag, Tag big, White tape big, ball pen, Temporary marker Red, Te",16,['border security force']
"A4 Size Paper, JK Bond Paper, Information Folder, Pen Pilot Hi- Tech V7, Pen Pilot Hi- Tech V5, Ink for Pi",4,['border security force']
"A4 Size paper JK EASY COPIER 70 GSM, Stapler Ping Small KANGAROO, Pencil Nat raj, U CLIP, FEVI STICK 15",19,['border security force']
"A4 Size paper Rim, File cover superior quality, Pen stand, Paper weight, Calculator big, Calculator Medi",34,['border security force']
"A4 paper 70 GSM, JK BOND PAPER, Tag Large Good quality, Pilot Hi Techpoint Point 5, Reynold Pen Blue, Re",4,['border security force']
"A4 paper Best Quality, File cover Printed, Tag Large Good quality, Tag small Good quality, Pilot Hi Tec",4,['border security force']
"A4 size Photostat Paper, Carbon Paper Pencil, Calculator, Colour Tape Difference colour, Dak Folder, Dra",16,['border security force']
"AAA BATTERY, STAINLESS STEEL SCISSOR WITH HEAVY BRASS HANDLE 10 INCH, CANVASS CLOTH, MUNIX AS 5160 153",4,['central armed police forces']
"AALU POTATOES, PYAJ ONION, TAMATER TOMATOES, LEHSUN GARLIC, ADRAK GINGER, HARI MIRCH GREEN CHILLI, HARA D",10,['indo tibetan border police']
