,bihar,,,,,,,,
SN,title,organisation,ref_no,state,stage,status_update_date,company_name,bid_amount,result_bid_value
65,"Repair to Police Station Building, Islampur under Uttar Dinajpur Division, PWD during the year 2016-2017.",public works department,WBPWD/EE/UDD/NIT-12/2016-17,bihar,AOC,23-11-2016,Mercury co operative labour contract and const socy  LTD,1011101,1011101
66,"Providing and laying of interlocking pavers Near Police out post and Health Center Baina, from Morya gada near Housing Board Colony and construction of drain from Police out post, Health Center Baina to Kamat Garage in ward no. 7 of Mormugao Municipal",municipal council,MMC/Tech/Tender Notice/2022-23/498/10,bihar,AOC,27-06-2023,SMRUTI CONSTRUCTION,1603126.24,1603126.2
67,"Beautification work of the pond for Chhath Puja behind the police station in Ward No. 13, Kopa Kohna East.",directorate of local bodies,512/NPKOPAGANJMAU/2024-25,bihar,Financial Evaluation,08-04-2025,M/s SAAD AHMAD CONTRACTOR,8113878,8113878
68,"REPAIR AND MAINTENANCE OF PCC SADAR BAZAR ROAD FROM DEVANIA NALA BRIDGE TO POLICE STATION, DANAPUR CANTT",ministry of defence,CBD/JE/Road-Sadar Bazar/1,bihar,Financial Bid Opening,14-01-2025,KAMLESH SINGH,3330968.25,2783835
69,"CONSTRUCTION OF ROAD FROM THE H/ O SANKAR BISWAS TO POLICE FARI, SANSAD NO- X UNDER BELPUKUR G. P.",zilla parishad,WB/NAD/KGR2/BEL/09/2022-23 of 15th F.C,bihar,AOC,04-05-2023,SANTOSH KUMAR GHOSH,92178.34,92159.9
70,Construction of Drain From Police Station to Pachayat Dharmshala Prabhag 1 (2nd Call) at Telhara Dist Akola,directorate of municipal administration,E-Tender Notice No 2/2015-16,bihar,AOC,22-09-2015,PANKAJ SURESHRAO SARODE,764120,764120
71,"Development of new A site Retail Outlet within 1 KM from Banjariya Police Station towards Chhapwa- Motihari Station Road ( Not on NH ) at Plot No. 524, Khata No. 118, Mauza- Singhiya Hiban, PS- Banjariya, Dist- East Champaran, Bihar under MDO",bihar state office,BSO/ENGG/2024-25/LT-21,bihar,Financial Bid Opening,09-12-2024,Biswas And Sons,10316251.7,8241159
72,"Rampur Jamuniya,Sikitiya Purab Tola,Gauri Sri Ram Station,Jamuwan To Mishrauli Bihar Border via Pipra Uttar,Barwa Patti Police Station To Kanhi Tola,Dumahi Link Road,Dhokaraha To Gauri Shukla link Road Km.- 1",chief engineer gorakhpur zone pwd gorakhpur up,786/7A dated 03-05-2017,bihar,Financial Bid Opening,15-05-2017,SIPAHI LAL,450948.6,450948.6
73,"Making Temporary Barrack, Bathing Platform and Toilet at Tandwa Police station under Amrapali OCP, of A- C Area, CCL.",central coalfields limited,GMAC/SOC/eTender/21-22/215/912,bihar,AOC,08-05-2022,Naresh Yadav,3194738.94,2991313.2
74,Underground Cabling and Shifting of D.P. at Mali Colony Police Line Road Junction (J.C. Boss).(76/06),urban improvement trust udaipur,NIT_76_06,bihar,Financial Bid Opening,01-12-2015,BABEL BROTHERS,794675.38,659220.2
75,"Construction of R. C. C. Drain from Ekta Chowk to Sadar Police Station, Bhabua in ward No.- 7 and 13.",urban development and housing department,06/2013-14/DUDA/KAIMUR,bihar,AOC,22-02-2014,SANJAY KUMAR,94000,94000
