MP Police,,
item,count,ref_nos
construction of civil work for hockey synthetic astroturf at shaheed chandrashekar azad stadium,1,12 / 2020-21
result for 1. construction work of child friendly room ( ajak thana ) at s. p. office,1,29/2024-25
construction of chowkey shahpur sagar.,1,12/2022-23
tender fot purchasing of dog ( pups ),1,M-3092/2024
garoth distt. mandsaur ( 11/ 0. 433 kv,1,NIT 15/2024-25_4
horizontal submarine mini electro- phoresis with power supply,1,No.  FSL /STORE/PMS 2018-19(II)/2019
construction work of ajak thana,2,"14/2023-24, 01/2023-24"
construction of semi uraban thana station road pipariya dist. hoshangabad,1,16/2018-19
dismantling work of old building at c. m. rise school malhargarh distt. mandsaur.,1,NIT 24/2022-23_1
construction of community hall sadar bazar police line indore,1,5/2022-23/2
drainage,1,SP/Ujjain/RI/3529A/2023
construction of mahila desk for fir at thana samnapur,1,10/2019-20_2 MAHILA DESK
45,1,4004/24
brahmaputra blocks 15th bn.,1,23/2020-21/05
upgradation work of 30 beded cummunty health center to 50 beded civil hospital seoni malwa dist hoshangabad,1,14/2021-22
maintanence work of doors,1,SP/Ujjain/RI/3529A/2023
ujjain.,13,"NIT 27/2024-25_10, 169J, NIT 27/2024-25_11, NIT 28/2024-25_1, NIT 27/2024-25_7, 169D, 170A, 170F, NIT 27/2024-25_8, 170I, NIT 27/2024-25_4, NIT 27/2024-25_5, 170J"
block b old nursing hostel building,1,NIT 07/2020-21_1
bank renovation ho bhopal,1,63/2018-19
dig office,1,03/2024-25
parking work pta,1,15/2020-21
toilets repairing work,1,P-1274-A
panihar distt. gwalior.,1,26/2023-24
internal electrification work at sp radio office rewa,1,13/2021-22
tikamgarh.,1,12/2021-22
fixing of street light poles with street lights work at 72 ngo,1,05/2024-25
lan networking,2,"SB/STORE/2022-25(270) BHOPAL DATED 3-10-2022, SB/STORE/2022-25 (375) BHOPAL DATED 28.12.2022"
construction work of 2 nos. additional class rooms at govt. high school barahiya dist satna,1,04/2025-26
sewer maintenance work of block 01,1,36
control room at police fire station,1,24/2021-22/2
construction of toilets,2,"SP/Ujjain/RI/81/2024, M-3040/2019"
sanitary fitting,1,07/2024-25
tender for paste control,1,PHQ/Planning/19/A-2/5/02/2022
construction of swimming pool complex at,2,"18/2021-22, 12/2021-22"
